step,loss,grad_norm,batch_starts_sha256
45,7.929498672485352,1.2631384134292603,e2adb230ccedacb77a8e8857ecc068ae1bd0b603a5aa824769cddc3ff0c5c595
46,7.929168224334717,1.2355189323425293,52c9d859b991501bd1754a975ae31d9be2d334d78f20c302d05e87e9edf18ee7
47,7.909761428833008,1.2674716711044312,c3e354f2ede24d0480dfbe520295807b14694388f9aa6d26039368b34eca583e
48,7.913177490234375,1.2286640405654907,4aabeb5b4034af9820380237ce598bbd821fe32977c83dfef73838cd40f38bf6
49,7.904487609863281,1.2156959772109985,6c18bb4d1cf20efa866682466646bb494aee782c09845227afcf5d3080028b06
50,7.88414192199707,1.2685974836349487,16c0d39798d2624358480046ab72f87ff7ce004cbbc3b3b410579fd3e4d98db4
51,7.857786178588867,1.3020942211151123,e0007e8750ae94565926110423413d85448121995de95a658308b81f66b94882
52,7.864297866821289,1.2601159811019897,e74ef087290b91682d3b9e44403df784c4dab358785db11b5caf394564ceb962
53,7.848924160003662,1.3004099130630493,1d6e6e0825faa9366a91e9c098c1e068f81e59c6a70ed9f4240c7a23b0702dd1
54,7.851258277893066,1.2623183727264404,e88377a20a32aedafefaa9e6684898709f86c4f2f5256cdc4b8aac90a9192dd6
55,7.849851608276367,1.2435120344161987,c7b6329a7ef5e99d302e965920620cca36c101e74b7d68890e6f43026bd3dda9
56,7.8177876472473145,1.2763149738311768,67343cf152b04ef82ea820cab6dcb78cf3b72acf5ab7bb0260e34e3f7d8f3aec
57,7.826661109924316,1.2431130409240723,2b71a85c900b804067f155c9c2671ea95afa9650c5a763e444086c316f189163
58,7.801280975341797,1.282941222190857,3c9dd8e8d457e60be37ccc76cd5e06cefa2da561b30033619bf2feb30a6d20b3
59,7.808216094970703,1.2529889345169067,2c9bedf79577e538f518cc0f3503aeaf2a276b0ec579205fc80a1ee565020980
60,7.771121501922607,1.304764747619629,9ae354c8f405d0142cc069d8660bed6178914b8c4478d5507d5a6cb6d05ddddd
61,7.793475151062012,1.21974778175354,6e89fc7413b599d59d1a6dfb1053babe0af282bb196fa0be9143d7e46caf5f45
62,7.785801887512207,1.2254096269607544,671dc8fad5a01cd3fa84d821994ec432560c9ad60ed217d83035c6da0c7915f3
63,7.767566680908203,1.2536866664886475,53794e84b907302d1b9212b7ffb2485b14632638f01133314d714febdcdab110
64,7.759297847747803,1.256479263305664,2172718e03cc8b73a113128e997ab49036a8485ddf56c92b09e5f36a21d1306e
65,7.745745658874512,1.231151819229126,6d515c6f318b9930bc4a3ac26e03446cab1cf56523e030b8ed5639ea3eed919e
66,7.716052055358887,1.293188214302063,3e321901dc4fcefda2333eaa1337e3d05842f0510b2642041b4ab0c1271b947a
67,7.696503639221191,1.28974449634552,950fd91071525c4934f7a3f55a3618563dc42a634002cb9744891ff9878557cf
68,7.712581157684326,1.2417759895324707,2fb5be99d5d2c1f45fa11aebc670040573f21727050eff0b7f4667b0fb0289f4
69,7.685060501098633,1.2629940509796143,c92cc48af983ff8206bbab6abef28c54005d89c361a50705fb9c646858eb3526
